clusterID	value
0	-0.36
1	-0.6
2	0.32
3	-0.39
4	-0.77
5	-0.01
6	-0.69
7	-0.53
8	-0.26
9	-0.35
10	0.14
11	0.2
12	-0.56
13	-0.35
14	-0.33
15	0.13
16	-0.81
17	-0.84
18	-0.57
19	-0.01
20	0.55
21	0.4
22	-0.31
23	0.28
24	-0.43
25	0.18
26	-0.13
27	0.02
28	0.46
29	0.41
30	0.3
31	1.01
32	0.19
33	0.35
34	-0.16
35	-0.66
36	-0.22
37	-0.74
38	-0.86
39	-0.33
40	-0.71
41	-1.11
42	-1.08
43	-0.91
44	-0.88
45	-0.83
46	-0.73
47	-0.73
48	-0.21
49	0.46
50	0.64
51	0.97
52	0.28
53	1.13
54	0.77
55	0.13
56	-0.23
57	-0.63
58	-1.1
59	-1.13
60	-1.53
61	-1.51
62	-1.04
63	-1.52
64	-1.63
65	-0.98
66	-0.13
67	-0.04
68	0.02
69	0.08
70	-0.11
71	0.67
72	0.87
73	-0.11
74	0.15
75	-0.11
76	-0.44
77	0.38
78	0.36
79	-0.29
80	0.03
81	-0.21
82	0.01
83	-0.23
84	-0.45
85	0.05
86	0.12
87	0.04
88	0.11
89	0.06
90	0.17
91	0.63
92	1.09
93	0.99
94	1.16
95	1.19
96	0.27
97	0.28
98	0.22
99	0.25
100	-0.17
101	-0.01
102	-0.18
103	0.3
104	0.49
105	0.09
106	-0.16
107	-0.46
108	-0.83
109	-0.84
110	-0.47
111	-0.4
112	-0.43
113	-0.84
114	-0.81
115	-0.52
116	-0.81
117	-1.29
118	-1.5
119	-1.21
120	-0.4
121	-0.53
122	-0.97
123	-0.22
124	0.38
125	0.5
126	-0.15
127	-0.28
128	-1.53
129	-1.49
130	-1.44
131	-1.74
132	-1.13
133	-0.72
134	-1.11
135	-1.37
136	-0.72
137	-0.69
138	-1.09
139	-1.64
140	-1.23
141	-0.72
142	-0.54
143	-0.25
144	-0.16
145	0.16
146	-0.12
147	-0.72
148	-0.68
149	-0.62
150	-1.04
151	-0.98
152	-1.26
153	-1.28
154	-1.01
155	-1.2
156	-1.89
157	-1.97
158	-1.19
159	-0.94
160	-1.14
161	-1.09
162	-0.98
163	-1.12
164	-0.33
165	-0.52
166	-0.39
167	-0.49
168	-0.29
169	0.22
170	0.63
171	-0.55
172	-0.24
173	-0.11
174	-0.95
175	0.0
176	-0.34
177	-0.67
178	-0.52
179	0.31
180	0.34
181	0.45
182	-0.18
183	0.55
184	0.6
185	1.07
186	0.64
187	0.09
188	0.26
189	0.94
190	0.04
191	-0.11
192	-0.75
193	-0.77
194	-0.7
195	-0.66
196	-1.46
197	-1.21
198	-0.44
199	-0.6
200	-0.51
201	-0.24
202	-0.68
203	-0.46
204	-0.32
205	-1.13
206	-0.83
207	-1.26
208	-1.68
209	-1.38
210	-1.84
211	-2.28
212	-2.17
213	-2.3
214	-1.47
215	-1.66
216	-2.03
217	-1.47
218	-0.66
219	-0.37
220	0.38
221	0.42
222	0.55
223	-0.21
224	-0.13
225	0.42
226	0.95
227	0.55
228	0.41
229	1.01
230	0.61
231	0.14
232	-0.47
233	-0.83
234	-0.83
235	-0.49
236	-0.63
237	-0.68
238	0.14
239	0.36
240	-0.08
241	0.81
242	0.44
243	0.19
244	0.13
245	-0.28
246	-0.71
247	-0.42
248	-0.76
249	-0.56
250	-0.51
251	-0.98
252	-0.53
253	-0.24
254	-0.2
255	0.04
256	-0.72
257	-0.69
258	0.37
259	-0.85
260	-0.88
261	-0.39
262	-0.12
263	0.13
264	-0.21
265	-0.09
266	-0.44
267	-0.77
268	-0.6
269	-0.17
270	0.18
271	-0.09
272	0.01
273	-0.13
274	0.24
275	0.25
276	-0.54
277	-0.1
278	0.17
279	0.59
280	1.18
281	0.28
282	-0.49
283	-0.38
284	-1.0
285	-1.16
286	-0.84
287	-0.64
288	0.17
289	0.35
290	0.67
291	0.64
292	0.17
293	0.18
294	-0.12
295	-0.41
296	-0.57
297	-0.77
298	-0.87
299	-0.92
300	-1.66
301	-0.84
302	-0.38
303	0.37
304	0.13
305	0.16
306	-0.46
307	-0.61
308	-1.08
309	-1.56
310	-1.42
311	-1.0
312	-0.54
313	-0.52
314	0.26
315	0.92
316	0.64
317	0.6
318	0.19
319	0.96
320	0.31
321	0.08
322	-0.43
323	-0.21
324	-0.59
325	-0.24
326	-0.64
327	-0.46
328	-0.72
329	-0.92
330	-1.36
331	-0.95
332	-0.82
333	-0.47
334	-0.83
335	-0.93
336	-0.99
337	-1.53
338	-1.85
339	-1.76
340	-2.21
341	-2.11
342	-1.27
343	-0.48
344	0.21
345	0.6
346	0.44
347	0.67
348	0.76
349	0.3
350	-0.46
351	-0.48
352	-0.35
353	0.42
354	-0.45
355	0.2
356	0.06
357	-0.0
358	-0.81
359	-0.55
360	-0.67
361	-0.45
362	-0.52
363	0.32
364	0.68
365	0.98
366	0.93
367	0.47
368	0.44
369	0.39
370	0.28
371	-0.72
372	-0.68
373	-1.03
374	-0.93
375	-0.82
376	-1.84
377	-1.12
378	-1.2
379	-0.96
380	-1.1
381	-1.23
382	-1.26
383	-1.32
384	-1.54
385	-0.58
386	-0.69
387	-1.67
388	-0.98
389	-0.94
390	-0.23
391	-0.71
392	-1.38
393	-1.02
394	-1.28
395	-1.88
396	-0.87
397	-1.28
398	-0.71
399	-0.27
