ORF	substrate	sf	fam	type	pdb	score	rmsd	seqid	length
YDL021W	-	c.60.1	c.60.1.1	model	../data/homology/YDL021W_1qhfA/YDL021W.B99990003.pdb	-27727.67	0.37	47.5	311
YKL152C	-	c.60.1	c.60.1.1	pdb	../data/homology/YKL152C_1qhfA/YKL152C.B99990003.pdb	none	none	none	247
YKR043C	+	c.60.1	c.60.1.1	pdb	../data/homology/YKR043C_3f3kA/YKR043C.B99990002.pdb	none	none	none	271
YOL056W	-	c.60.1	c.60.1.1	model	../data/homology/YOL056W_1qhfA/YOL056W.B99990004.pdb	-28158.89	0.3	43.33	303
YDR051C	+	c.60.1	c.60.1.1	model	../data/homology/YDR051C_1qhfA/YDR051C.B99990005.pdb	-28217.93	0.6	30.42	334
YPR085C	-	b.69.4	b.69.4.1	model	../data/homology/YPR085C_3frxA/YPR085C.B99990004.pdb	-39290.04	0.99	26.4	443
YNL035C	+	b.69.4	b.69.4.1	model	../data/homology/YNL035C_2hesX/YNL035C.B99990005.pdb	-32322.88	0.65	25.0	389
YMR146C	+	b.69.4	b.69.4.1	pdb	../data/homology/YMR146C_3zwlB/YMR146C.B99990002.pdb	none	none	none	347
YLR208W	+	b.69.4	b.69.4.1	model	../data/homology/YLR208W_3f3fA/YLR208W.B99990003.pdb	-27950.17	0.59	28.62	297
YDR142C	-	b.69.4	b.69.4.1	pdb	../data/homology/YDR142C_3w15A/YDR142C.B99990001.pdb	none	none	none	375
YDR267C	+	b.69.4	b.69.4.1	pdb	../data/homology/YDR267C_2hesX/YDR267C.B99990002.pdb	none	none	none	330
YMR116C	+	b.69.4	b.69.4.1	pdb	../data/homology/YMR116C_3frxA/YMR116C.B99990002.pdb	none	none	none	319
YGL100W	+	b.69.4	b.69.4.1	pdb	../data/homology/YGL100W_3f3fA/YGL100W.B99990003.pdb	none	none	none	349
YBR175W	+	b.69.4	b.69.4.1	model	../data/homology/YBR175W_2hesX/YBR175W.B99990003.pdb	-31960.88	0.55	21.43	315
YNL006W	+	b.69.4	b.69.4.1	model	../data/homology/YNL006W_3frxA/YNL006W.B99990003.pdb	-28661.85	1.07	23.43	303
YER107C	+	b.69.4	b.69.4.1	model	../data/homology/YER107C_1yfqA/YER107C.B99990003.pdb	-32006.05	0.6	26.32	365
YKL018W	+	b.69.4	b.69.4.1	model	../data/homology/YKL018W_3frxA/YKL018W.B99990001.pdb	-31397.93	0.75	23.43	329
YBR246W	+	b.69.4	b.69.4.1	model	../data/homology/YBR246W_3w15A/YBR246W.B99990004.pdb	-35441.26	0.63	23.21	387
YBR234C	+	b.69.4	b.69.4.1	model	../data/homology/YBR234C_3zwlB/YBR234C.B99990001.pdb	-34623.02	0.59	20.94	384
YER066W	-	b.69.4	b.69.4.1	model	../data/homology/YER066W_3frxA/YER066W.B99990001.pdb	-14881.1	0.96	26.49	185
YCL018W	-	c.77.1	c.77.1.1	model	../data/homology/YCL018W_3blxA/YCL018W.B99990001.pdb	-36000.78	0.5	29.25	364
YDL066W	+	c.77.1	c.77.1.1	pdb	../data/homology/YDL066W_2qfvA/YDL066W.B99990002.pdb	none	none	none	428
YLR174W	+	c.77.1	c.77.1.1	model	../data/homology/YLR174W_2qfvA/YLR174W.B99990005.pdb	-46342.99	0.27	73.9	412
YOR136W	+	c.77.1	c.77.1.1	pdb	../data/homology/YOR136W_3blxA/YOR136W.B99990002.pdb	none	none	none	369
YNL009W	-	c.77.1	c.77.1.1	model	../data/homology/YNL009W_2qfvA/YNL009W.B99990003.pdb	-47080.39	0.35	70.0	420
YLR446W	-	c.45.1	c.45.1.2	model	../data/homology/YLR446W_3sr9A/YLR446W.B99990001.pdb	-39003.71	1.68	19.17	433
YNL099C	-	c.45.1	c.45.1.1	model	../data/homology/YNL099C_2j16A/YNL099C.B99990001.pdb	-16254.7	0.93	31.58	238
YDR067C	+	c.45.1	c.45.1.2	model	../data/homology/YDR067C_2j16A/YDR067C.B99990004.pdb	-18344.08	1.04	21.81	224
YIL113W	-	c.45.1	c.45.1.1	pdb	../data/homology/YIL113W_2j16A/YIL113W.B99990002.pdb	none	none	none	209
YNL056W	+	c.45.1	c.45.1.1	model	../data/homology/YNL056W_2j16A/YNL056W.B99990001.pdb	-17534.61	0.69	27.07	197
YDL230W	+	c.45.1	c.45.1.2	model	../data/homology/YDL230W_3sr9A/YDL230W.B99990004.pdb	-29462.28	1.99	33.13	335
YJR155W	-	c.1.7	c.1.7.1	model	../data/homology/YJR155W_4xk2A/YJR155W.B99990003.pdb	-28614.26	0.44	26.04	288
YOL165C	-	c.1.7	c.1.7.1	model	../data/homology/YOL165C_4xk2A/YOL165C.B99990004.pdb	-10615.27	1.92	18.88	143
YDL243C	-	c.1.7	c.1.7.1	model	../data/homology/YDL243C_1lqaA/YDL243C.B99990001.pdb	-33152.3	0.49	24.01	329
