geneID	ORF	domainID	pdb_code	scop	chain	start	end
534600	YPR167C	37	1sura	c.26.2.2	A	1	261
746578	YDR007W	65	1nsja	c.1.2.4	A	1	224
531489	YJL088W	71	1pvva	c.78.1.1	A	1	338
535340	YGR006W	76	1dvka	a.72.1.1	A	1	251
529484	YDR139C	83	1aara	d.15.1.1	A	1	77
533819	YOR074C	102	1ju6a	d.117.1.1	A	1	259
535016	YLR027C	104	2csta	c.67.1.1	A	1	418
746556	YBR041W	107	1pg3a	e.23.1.1	A	1	669
534813	YAL014C	148	1dn1b	a.47.2.1	A	1	255
534879	YAL044C	165	1dxma	b.84.1.1	A	1	170
534886	YBL068W	174	1dkra	c.61.1.2	A	1	327
534904	YBR263W	184	1ls3a	c.67.1.4	A	1	490
534905	YBR264C	185	1oiva	c.37.1.8	A	1	199
534927	YDR400W	197	1ezra	c.70.1.1	A	1	340
534952	YGL240W	223	1gqpa	b.18.1.9	A	1	250
534973	YHR065C	233	1fuub	c.37.1.19	A	1	501
534984	YIL145C	234	1ihoa	c.26.1.4	A	1	309
534999	YJR022W	236	1d3bb	b.38.1.1	A	1	109
746570	YLR205C	276	1n3ua	a.132.1.1	A	1	317
528983	YCR004C	389	1ag9a	c.23.5.1	A	1	247
529377	YDR035W	414	1gg1a	c.1.10.4	A	1	370
529653	YDR298C	417	1abva	a.70.1.1	A	1	212
534419	YPL271W	420	1e79i	a.137.8.1	A	1	62
532272	YLR078C	421	1i84s	i.15.1.1	A	1	244
529212	YDL125C	431	1av5a	d.13.1.1	A	1	158
531789	YKL001C	453	1d6ja	c.37.1.4	A	1	202
532633	YLR433C	460	1auia	d.159.1.3	A	1	553
532176	YLL050C	461	1cfya	d.109.1.2	A	1	143
530516	YGL187C	466	1occf	g.41.5.3	A	1	155
532749	YML078W	472	1ak4a	b.62.1.1	A	1	182
529500	YDR155C	477	1ak4a	b.62.1.1	A	1	162
531674	YJR048W	480	2pccb	a.3.1.1	A	1	109
529951	YEL039C	481	1yeaa	a.3.1.1	A	1	113
531853	YKL060C	499	1dosa	c.1.10.2	A	1	359
531338	YIL160C	502	1afwa	c.95.1.1	A	1	417
533865	YOR120W	510	2alra	c.1.7.1	A	1	312
531947	YKL152C	516	1bq3d	c.60.1.1	A	1	247
528608	YBR010W	521	1id3a	a.22.1.1	A	1	136
528607	YBR009C	522	1id3b	a.22.1.1	A	1	103
529389	YDR047W	524	1uroa	c.1.22.1	A	1	362
529575	YDR224C	527	1id3d	a.22.1.1	A	1	131
528478	YBL002W	528	1id3d	a.22.1.1	A	1	131
533478	YNL322C	567	1ei3a	i.9.1.1	A	1	313
529072	YCR096C	578	1mnmc	a.4.1.1	A	1	119
531791	YKL003C	620	1fjgf	d.58.14.1	A	1	131
534481	YPR052C	635	1cg7a	a.21.1.1	A	1	93
531611	YJL208C	650	1qaea	d.4.1.2	A	1	329
532994	YMR174C	656	1dp5b	a.137.7.1	A	1	68
530733	YGR133W	658	1fxta	d.20.1.1	A	1	183
529223	YDL134C	680	1it6a	d.159.1.3	A	1	369
529278	YDL188C	682	1it6a	d.159.1.3	A	1	377
530322	YFR050C	689	1g0um	d.153.1.4	A	1	266
533867	YOR122C	690	1ypra	d.110.1.1	A	1	126
532831	YMR022W	709	2ucza	d.20.1.1	A	1	165
533861	YOR116C	759	1k83a	e.29.1.2	A	1	1460
534365	YPL218W	764	1m2ob	c.37.1.8	A	1	190
530003	YER011W	820	1deqa	i.9.1.1	A	1	254
531540	YKR059W	849	1fuua	c.37.1.19	A	1	395
530093	YER090W	851	1qdla	d.161.1.1	A	1	507
529523	YDR177W	866	1fxta	d.20.1.1	A	1	215
532011	YKL216W	884	1dora	c.1.4.1	A	1	314
533093	YMR271C	885	1lh0a	c.61.1.1	A	1	227
528955	YCL047C	960	1k4ka	c.26.1.3	A	1	258
528943	YCL035C	977	1jhba	c.47.1.1	A	1	110
528941	YCL033C	978	1l1da	b.88.1.3	A	1	168
532667	YML001W	991	1ky2a	c.37.1.8	A	1	208
530810	YGR209C	996	1erva	c.47.1.1	A	1	104
532237	YLR043C	997	1erva	c.47.1.1	A	1	103
529151	YDL066W	1001	1a05a	c.77.1.1	A	1	428
533983	YOR236W	1007	1ai9a	c.71.1.1	A	1	211
531006	YHR051W	1008	1occe	a.118.11.1	A	1	148
531730	YJR104C	1009	1b4la	b.1.8.1	A	1	154
534620	YPR187W	1019	1i3qf	a.143.1.2	A	1	155
530340	YGL011C	1028	1jd2g	d.153.1.4	A	1	252
534257	YPL111W	1030	1hqxa	c.42.1.1	A	1	333
529933	YEL021W	1031	1dqwa	c.1.2.3	A	1	267
529392	YDR050C	1036	7tima	c.1.1.1	A	1	248
530202	YFL005W	1047	1g17a	c.37.1.8	A	1	215
534598	YPR165W	1048	1lb1b	c.37.1.8	A	1	209
529073	YCR097WB	1055	1f43a	a.4.1.1	A	1	126
534599	YPR166C	1058	1p87n	i.1.1.1	A	1	115
530359	YGL030W	1070	1ck2a	d.79.3.1	A	1	105
530426	YGL097W	1116	1a12a	b.69.5.1	A	1	482
533771	YOR026W	1157	1b9xa	b.69.4.1	A	1	341
533267	YNL113W	1188	1k83k	d.74.3.2	A	1	142
530806	YGR205W	1226	1esma	c.37.1.6	A	1	290
529058	YCR083W	1270	1erva	c.47.1.1	A	1	127
529039	YCR060W	1291	1elwa	a.118.8.1	A	1	111
533715	YOL139C	1292	1ap8a	d.86.1.1	A	1	213
531008	YHR053C	1299	1aqsa	g.46.1.1	A	1	61
531011	YHR057C	1315	1cyna	b.62.1.1	A	1	205
530387	YGL058W	1339	1ayza	d.20.1.1	A	1	172
531426	YJL026W	1350	1jk0a	a.25.1.2	A	1	399
528988	YCR009C	1362	1i49a	a.238.1.2	A	1	265
532800	YML124C	1407	1ffxa	i.10.1.1	A	1	445
531084	YHR128W	1410	1bd3d	c.61.1.1	A	1	251
531815	YKL024C	1411	1ukya	c.37.1.1	A	1	204
531199	YIL020C	1419	1gpwa	c.1.2.1	A	1	261
530804	YGR203W	1452	1cwta	c.46.1.1	A	1	148
530808	YGR207C	1480	1efpb	c.26.2.3	A	1	261
