ORF	substrate	cd	counts	nopt
YDL021W	0	0.264	0	1
YKL152C	0	0.079	0	0
YKR043C	1	0.253	1	1
YOL056W	0	0.169	0	3
YDR051C	1	-0.08	1	4
YPR085C	0	0.028	2	8
YNL035C	1	-0.03	2	2
YMR146C	1	-0.064	5	0
YLR208W	1	-0.151	2	0
YDR142C	0	-0.316	5	6
YDR267C	1	-0.293	4	0
YMR116C	1	-0.391	3	0
YGL100W	1	0.061	3	8
YBR175W	1	-0.08	2	2
YNL006W	1	-0.319	5	0
YER107C	1	-0.338	3	2
YKL018W	1	0.088	3	6
YBR246W	1	-0.022	3	4
YBR234C	1	-0.312	2	0
YER066W	0	-0.323	3	2
YCL018W	0	-0.409	1	0
YDL066W	1	-0.089	5	0
YLR174W	1	-0.269	2	0
YOR136W	1	-0.578	3	0
YNL009W	0	0.086	1	9
YLR446W	0	0.021	0	6
YNL099C	0	-0.112	0	2
YDR067C	1	-0.132	2	3
YIL113W	0	0.219	1	2
YNL056W	1	-0.029	3	4
YDL230W	1	-0.173	3	3
YJR155W	0	0.064	0	0
YOL165C	0	-0.056	0	0
YDL243C	0	0.152	0	1
YOR120W	0	0.22	1	2
YFL056C	0	0.405	0	0
YHR104W	1	0.461	2	2
YDR368W	1	0.389	2	1
YFL057C	0	0.164	0	0
YNL090W	1	-0.401	2	0
YMR138W	1	-0.021	2	5
YKR059W	1	-0.211	3	0
YOR094W	0	-0.349	1	4
YBR164C	1	-0.041	1	3
YKR014C	1	-0.27	1	0
YNL093W	0	-0.329	1	4
YDL084W	1	-0.109	3	0
YOR185C	1	-0.341	1	0
YFL005W	1	-0.11	2	0
YDR021W	1	-0.058	3	5
YHR022C	0	-0.275	2	4
YJR057W	0	0.238	1	2
YHR065C	0	0.042	0	3
YFL038C	1	-0.097	3	0
YDR248C	0	-0.016	0	0
YFL066C	1	-0.247	4	0
YCR027C	1	-0.189	2	0
YBR264C	1	-0.47	1	0
YOR089C	1	-0.357	1	1
YGR205W	0	0.333	2	5
YLR293C	1	-0.339	2	0
YGL091C	0	0.024	0	0
YOR046C	1	-0.24	2	0
YIL003W	1	-0.351	2	0
YKL154W	0	-0.152	1	2
YBR227C	0	-0.17	0	0
YNL202W	0	0.126	0	2
YKL107W	0	0.276	0	4
YDL114W	0	0.747	0	9
YLR426W	1	0.419	0	4
YOR246C	1	0.313	2	1
YKL055C	0	0.295	0	1
YPL033C	0	0.323	0	1
YBR159W	0	0.403	1	1
YMR090W	0	0.046	1	0
YNL181W	1	0.399	2	0
YKL071W	0	0.232	0	5
YER004W	1	0.22	0	2
YIR036C	1	-0.054	0	0
YIL124W	1	0.273	1	0
YGR019W	1	0.334	3	0
YNR058W	0	0.003	2	2
YLR438W	0	-0.075	2	0
YLR027C	1	0.193	5	5
YBR263W	1	-0.009	2	0
YEL066W	1	-0.042	2	0
YPR193C	0	0.029	0	0
YPR131C	1	0.225	0	1
YDR071C	1	0.261	1	0
YFL017C	1	-0.023	2	0
YIR042C	0	0.024	1	2
YDR183W	0	0.142	0	3
YKL026C	0	0.456	0	2
YDR453C	0	0.043	1	0
YCL035C	0	0.19	0	0
YCR083W	1	0.307	1	0
YIL010W	0	0.333	0	1
YLR364W	0	0.213	1	0
YHR057C	1	-0.022	1	0
YDR304C	0	0.028	0	0
YML078W	0	0.095	1	0
YDR155C	1	-0.044	1	0
YOR026W	1	-0.041	3	1
YLR043C	1	-0.045	0	0
YDL192W	0	-0.383	1	0
YGL004C	1	-0.322	4	5
