ORF	substrate	sf	fam	buriedCD	buried_alpha	buried_beta	exposedCD	buried_ldens	buried_wldens	normCD	normBD
YDL021W	0	c.60.1	c.60.1.1	0.804	0.776	0.63	0.706	3.051	3.877	0.264	0.051000000000000156
YKL152C	0	c.60.1	c.60.1.1	0.619	0.76	0.42	0.534	3.288	2.838	0.07899999999999996	0.2879999999999998
YKR043C	1	c.60.1	c.60.1.1	0.793	1.019	0.621	0.579	2.952	3.052	0.253	-0.04800000000000004
YOL056W	0	c.60.1	c.60.1.1	0.709	0.793	0.5	0.484	3.816	4.109	0.16899999999999993	0.8159999999999998
YDR051C	1	c.60.1	c.60.1.1	0.46	0.394	0.222	0.538	4.319	2.947	-0.08000000000000002	1.319
YPR085C	0	b.69.4	b.69.4.1	0.778	2.0	0.873	0.673	2.986	3.209	0.028000000000000025	-1.464
YNL035C	1	b.69.4	b.69.4.1	0.72	0.0	0.835	0.631	3.209	3.041	-0.030000000000000027	-1.241
YMR146C	1	b.69.4	b.69.4.1	0.686	1.167	0.689	0.584	3.313	2.566	-0.06399999999999995	-1.137
YLR208W	1	b.69.4	b.69.4.1	0.599	2.75	0.558	0.593	4.258	3.212	-0.15100000000000002	-0.19200000000000017
YDR142C	0	b.69.4	b.69.4.1	0.434	0.3	0.472	0.639	4.101	2.685	-0.316	-0.3490000000000002
YDR267C	1	b.69.4	b.69.4.1	0.457	0.0	0.44	0.489	4.237	2.563	-0.293	-0.21300000000000008
YMR116C	1	b.69.4	b.69.4.1	0.359	0.0	0.375	0.331	4.265	1.802	-0.391	-0.1850000000000005
YGL100W	1	b.69.4	b.69.4.1	0.811	1.333	0.876	0.55	3.186	3.187	0.061000000000000054	-1.2640000000000002
YBR175W	1	b.69.4	b.69.4.1	0.67	0.0	0.902	0.567	3.506	3.174	-0.07999999999999996	-0.9440000000000004
YNL006W	1	b.69.4	b.69.4.1	0.431	0.0	0.451	0.396	4.118	2.34	-0.319	-0.33199999999999985
YER107C	1	b.69.4	b.69.4.1	0.412	0.0	0.404	0.484	4.116	2.169	-0.338	-0.3340000000000005
YKL018W	1	b.69.4	b.69.4.1	0.838	0.0	0.899	0.713	2.612	3.179	0.08799999999999997	-1.838
YBR246W	1	b.69.4	b.69.4.1	0.728	0.0	0.806	0.67	2.931	3.178	-0.02200000000000002	-1.5190000000000001
YBR234C	1	b.69.4	b.69.4.1	0.438	0.0	0.389	0.483	3.707	2.667	-0.312	-0.7430000000000003
YER066W	0	b.69.4	b.69.4.1	0.427	0.0	0.56	0.627	4.688	3.98	-0.323	0.23799999999999955
YCL018W	0	c.77.1	c.77.1.1	0.571	0.378	0.544	0.559	3.688	2.59	-0.40900000000000003	0.08800000000000008
YDL066W	1	c.77.1	c.77.1.1	0.891	0.926	1.062	0.593	2.918	3.857	-0.08899999999999997	-0.6819999999999999
YLR174W	1	c.77.1	c.77.1.1	0.711	0.678	0.75	0.556	3.504	3.219	-0.269	-0.09600000000000009
YOR136W	1	c.77.1	c.77.1.1	0.402	0.36	0.373	0.377	4.739	2.531	-0.578	1.1389999999999998
YNL009W	0	c.77.1	c.77.1.1	1.066	1.074	1.274	0.658	2.847	4.295	0.08600000000000008	-0.7530000000000001
YLR446W	0	c.45.1	c.45.1.2	0.841	0.855	0.706	0.718	3.963	3.593	0.02100000000000002	0.06300000000000017
YNL099C	0	c.45.1	c.45.1.1	0.708	0.704	1.125	0.379	3.525	3.267	-0.11199999999999999	-0.375
YDR067C	1	c.45.1	c.45.1.2	0.688	0.583	1.5	0.547	4.25	4.705	-0.132	0.3500000000000001
YIL113W	0	c.45.1	c.45.1.1	1.039	1.431	0.267	0.63	3.049	3.524	0.21899999999999997	-0.851
YNL056W	1	c.45.1	c.45.1.1	0.791	0.652	1.0	0.764	3.875	4.7	-0.028999999999999915	-0.02499999999999991
YDL230W	1	c.45.1	c.45.1.2	0.647	0.641	0.5	0.464	4.338	4.207	-0.17299999999999993	0.43800000000000017
YJR155W	0	c.1.7	c.1.7.1	0.409	0.269	0.571	0.433	4.61	2.732	0.064	1.4600000000000004
YOL165C	0	c.1.7	c.1.7.1	0.289	0.409	0.0	0.467	7.462	4.365	-0.055999999999999994	4.311999999999999
YDL243C	0	c.1.7	c.1.7.1	0.497	0.44	0.645	0.546	3.817	2.822	0.15200000000000002	0.6670000000000003
YOR120W	0	c.1.7	c.1.7.1	0.565	0.571	0.463	0.445	3.619	2.803	0.21999999999999997	0.4690000000000003
YFL056C	0	c.1.7	c.1.7.1	0.75	0.729	0.841	0.634	3.424	3.475	0.405	0.274
YHR104W	1	c.1.7	c.1.7.1	0.806	0.531	0.615	0.668	2.866	2.979	0.4610000000000001	-0.2839999999999998
YDR368W	1	c.1.7	c.1.7.1	0.734	0.895	0.767	0.482	2.785	2.672	0.389	-0.36499999999999977
YFL057C	0	c.1.7	c.1.7.1	0.509	0.632	0.3	0.668	5.346	4.462	0.16400000000000003	2.196
YNL090W	1	c.37.1	c.37.1.8	0.344	0.565	0.303	0.392	5.0	2.629	-0.401	-0.09999999999999964
YMR138W	1	c.37.1	c.37.1.8	0.724	0.917	0.809	0.616	3.509	3.905	-0.02100000000000002	-1.5909999999999997
YKR059W	1	c.37.1	c.37.1.19	0.534	0.681	0.2	0.359	3.032	3.237	-0.21099999999999997	-2.0679999999999996
YOR094W	0	c.37.1	c.37.1.8	0.396	0.25	0.5	0.483	4.27	2.832	-0.349	-0.8300000000000001
YBR164C	1	c.37.1	c.37.1.8	0.704	0.983	0.551	0.553	3.844	3.639	-0.041000000000000036	-1.2559999999999998
YKR014C	1	c.37.1	c.37.1.8	0.475	0.516	0.719	0.37	5.053	3.526	-0.27	-0.04699999999999971
YNL093W	0	c.37.1	c.37.1.8	0.416	0.5	0.5	0.521	5.189	3.21	-0.329	0.08900000000000041
YDL084W	1	c.37.1	c.37.1.19	0.636	0.642	0.525	0.448	3.229	2.406	-0.10899999999999999	-1.8709999999999996
YOR185C	1	c.37.1	c.37.1.8	0.404	0.545	0.417	0.437	4.686	2.317	-0.34099999999999997	-0.4139999999999997
YFL005W	1	c.37.1	c.37.1.8	0.635	0.733	0.569	0.438	3.884	3.024	-0.10999999999999999	-1.2159999999999997
