orf	model	score	rmsd	seqid
YDL021W	../data/homology/YDL021W_1qhfA/YDL021W.B99990003.pdb	-27727.671875	0.3688461184501648	47.5
YKL152C	../data/homology/YKL152C_1qhfA/YKL152C.B99990003.pdb	-26582.958984375	none	none
YKR043C	../data/homology/YKR043C_3f3kA/YKR043C.B99990002.pdb	-30096.55078125	none	none
YOL056W	../data/homology/YOL056W_1qhfA/YOL056W.B99990004.pdb	-28158.890625	0.29549792408943176	43.33300018310547
YDR051C	../data/homology/YDR051C_1qhfA/YDR051C.B99990005.pdb	-28217.927734375	0.5969241261482239	30.41699981689453
YPR085C	../data/homology/YPR085C_3frxA/YPR085C.B99990004.pdb	-39290.03515625	0.9851226806640625	26.402999877929688
YNL035C	../data/homology/YNL035C_2hesX/YNL035C.B99990005.pdb	-32322.876953125	0.6467375755310059	25.0
YMR146C	../data/homology/YMR146C_3zwlB/YMR146C.B99990002.pdb	-38300.76171875	none	none
YLR208W	../data/homology/YLR208W_3f3fA/YLR208W.B99990003.pdb	-27950.173828125	0.5850017070770264	28.6200008392334
YDR142C	../data/homology/YDR142C_3w15A/YDR142C.B99990001.pdb	-42350.3359375	none	none
YDR267C	../data/homology/YDR267C_2hesX/YDR267C.B99990002.pdb	-37402.5703125	none	none
YMR116C	../data/homology/YMR116C_3frxA/YMR116C.B99990002.pdb	-37205.5703125	none	none
YGL100W	../data/homology/YGL100W_3f3fA/YGL100W.B99990003.pdb	-34106.65625	none	none
YBR175W	../data/homology/YBR175W_2hesX/YBR175W.B99990003.pdb	-31960.8828125	0.554721474647522	21.429000854492188
YNL006W	../data/homology/YNL006W_3frxA/YNL006W.B99990003.pdb	-28661.853515625	1.065139889717102	23.43199920654297
YER107C	../data/homology/YER107C_1yfqA/YER107C.B99990003.pdb	-32006.05078125	0.6041689515113831	26.31599998474121
YKL018W	../data/homology/YKL018W_3frxA/YKL018W.B99990001.pdb	-31397.92578125	0.7494606971740723	23.43199920654297
YBR246W	../data/homology/YBR246W_3w15A/YBR246W.B99990004.pdb	-35441.26171875	0.6283150315284729	23.214000701904297
YBR234C	../data/homology/YBR234C_3zwlB/YBR234C.B99990001.pdb	-34623.0234375	0.5863828659057617	20.944000244140625
YER066W	../data/homology/YER066W_3frxA/YER066W.B99990001.pdb	-14881.1044921875	0.9635421633720398	26.486000061035156
YCL018W	../data/homology/YCL018W_3blxA/YCL018W.B99990001.pdb	-36000.77734375	0.5044636130332947	29.253999710083008
YDL066W	../data/homology/YDL066W_2qfvA/YDL066W.B99990002.pdb	-48264.85546875	none	none
YLR174W	../data/homology/YLR174W_2qfvA/YLR174W.B99990005.pdb	-46342.9921875	0.2656043469905853	73.9020004272461
YOR136W	../data/homology/YOR136W_3blxA/YOR136W.B99990002.pdb	-35917.1015625	none	none
YNL009W	../data/homology/YNL009W_2qfvA/YNL009W.B99990003.pdb	-47080.38671875	0.35377082228660583	70.0
YLR446W	../data/homology/YLR446W_3sr9A/YLR446W.B99990001.pdb	-39003.7109375	1.680493712425232	19.16900062561035
YNL099C	../data/homology/YNL099C_2j16A/YNL099C.B99990001.pdb	-16254.6982421875	0.9254031181335449	31.57900047302246
YDR067C	../data/homology/YDR067C_2j16A/YDR067C.B99990004.pdb	-18344.076171875	1.0363932847976685	21.80500030517578
YIL113W	../data/homology/YIL113W_2j16A/YIL113W.B99990002.pdb	-20260.564453125	none	none
YNL056W	../data/homology/YNL056W_2j16A/YNL056W.B99990001.pdb	-17534.60546875	0.6901581883430481	27.06800079345703
YDL230W	../data/homology/YDL230W_3sr9A/YDL230W.B99990004.pdb	-29462.27734375	1.9875621795654297	33.13399887084961
YJR155W	../data/homology/YJR155W_4xk2A/YJR155W.B99990003.pdb	-28614.255859375	0.4367014467716217	26.04199981689453
YOL165C	../data/homology/YOL165C_4xk2A/YOL165C.B99990004.pdb	-10615.271484375	1.9201600551605225	18.881000518798828
YDL243C	../data/homology/YDL243C_1lqaA/YDL243C.B99990001.pdb	-33152.3046875	0.4945984184741974	24.011999130249023
YOR120W	../data/homology/YOR120W_1sm9A/YOR120W.B99990004.pdb	-33433.80078125	0.4654652774333954	38.14099884033203
YFL056C	../data/homology/YFL056C_5hntA/YFL056C.B99990002.pdb	-19556.306640625	0.6907075643539429	21.697999954223633
YHR104W	../data/homology/YHR104W_1sm9A/YHR104W.B99990002.pdb	-39545.1953125	0.219665989279747	55.486000061035156
YDR368W	../data/homology/YDR368W_3uzwA/YDR368W.B99990001.pdb	-34324.80859375	0.532992959022522	39.10300064086914
YFL057C	../data/homology/YFL057C_4xk2A/YFL057C.B99990002.pdb	-10738.0966796875	1.7102596759796143	20.395000457763672
