ORF	substrate	sf	fam	CD	motif	Nnopt	peaks
YDL021W	0	c.60.1	c.60.1.1	0.703571428571429	1	3	0
YKL152C	0	c.60.1	c.60.1.1	0.518881118881119	0	0	0
YKR043C	1	c.60.1	c.60.1.1	0.693103448275862	1	0	5
YOL056W	0	c.60.1	c.60.1.1	0.609459459459459	0	2	1
YDR051C	1	c.60.1	c.60.1.1	0.359876543209877	0	1	1
YPR085C	0	b.69.4	b.69.4.1	0.508409090909091	0	10	0
YNL035C	1	b.69.4	b.69.4.1	0.44982758620689706	0	3	9
YMR146C	1	b.69.4	b.69.4.1	0.415929648241206	0	0	3
YLR208W	1	b.69.4	b.69.4.1	0.32872611464968104	1	0	6
YDR142C	0	b.69.4	b.69.4.1	0.164210526315789	0	4	0
YDR267C	1	b.69.4	b.69.4.1	0.18728643216080398	0	2	11
YMR116C	1	b.69.4	b.69.4.1	0.08897435897435901	0	0	4
YGL100W	1	b.69.4	b.69.4.1	0.5411111111111111	1	12	8
YBR175W	1	b.69.4	b.69.4.1	0.400212765957447	0	3	4
YNL006W	1	b.69.4	b.69.4.1	0.160635838150289	0	0	4
YER107C	1	b.69.4	b.69.4.1	0.142195121951219	0	0	9
YKL018W	1	b.69.4	b.69.4.1	0.567765957446808	0	10	2
YBR246W	1	b.69.4	b.69.4.1	0.45784810126582304	1	7	5
YBR234C	1	b.69.4	b.69.4.1	0.1675	3	2	4
YER066W	0	b.69.4	b.69.4.1	0.156666666666667	0	2	0
YCL018W	0	c.77.1	c.77.1.1	0.17109004739336497	0	0	0
YDL066W	1	c.77.1	c.77.1.1	0.49082969432314394	3	0	6
YLR174W	1	c.77.1	c.77.1.1	0.311111111111111	1	0	0
YOR136W	1	c.77.1	c.77.1.1	0.00206185567010309	1	0	8
YNL009W	0	c.77.1	c.77.1.1	0.6659090909090911	1	16	0
YLR446W	0	c.45.1	c.45.1.2	0.641025641025641	1	12	0
YNL099C	0	c.45.1	c.45.1.1	0.5075471698113211	0	1	0
YDR067C	1	c.45.1	c.45.1.2	0.4875	0	9	3
YNL056W	1	c.45.1	c.45.1.1	0.591208791208791	0	1	2
YDL230W	1	c.45.1	c.45.1.2	0.44728682170542605	1	2	4
YNL090W	1	c.37.1	c.37.1.8	0.27444444444444394	1	0	2
YMR138W	1	c.37.1	c.37.1.8	0.653958333333333	2	2	0
YKR059W	1	c.37.1	c.37.1.19	0.464090909090909	1	0	7
YOR094W	0	c.37.1	c.37.1.8	0.32583333333333303	0	6	1
YBR164C	1	c.37.1	c.37.1.8	0.6340816326530611	0	4	1
YKR014C	1	c.37.1	c.37.1.8	0.4047474747474749	0	0	3
YNL093W	0	c.37.1	c.37.1.8	0.34584158415841604	1	0	0
YDL084W	1	c.37.1	c.37.1.19	0.566170212765957	0	1	7
YOR185C	1	c.37.1	c.37.1.8	0.334255319148936	0	0	3
YFL005W	1	c.37.1	c.37.1.8	0.565294117647059	0	2	4
YDR021W	1	c.37.1	c.37.1.19	0.616695278969957	1	3	1
YHR022C	0	c.37.1	c.37.1.8	0.40008547008547	0	2	0
YJR057W	0	c.37.1	c.37.1.1	0.913193277310924	0	0	1
YHR065C	0	c.37.1	c.37.1.19	0.717037037037037	0	3	4
YFL038C	1	c.37.1	c.37.1.8	0.577959183673469	1	0	5
YDR248C	0	c.37.1	c.37.1.17	0.6589156626506021	1	0	1
YFL066C	1	c.37.1	c.37.1.19	0.427826086956522	0	1	0
YCR027C	1	c.37.1	c.37.1.8	0.486122448979592	1	5	1
YBR264C	1	c.37.1	c.37.1.8	0.204725274725275	0	0	0
YOR089C	1	c.37.1	c.37.1.8	0.31829787234042606	0	3	3
YGR205W	0	c.37.1	c.37.1.6	1.0077027027027	1	1	2
YLR293C	1	c.37.1	c.37.1.8	0.335940594059406	0	0	2
YGL091C	0	c.37.1	c.37.1.10	0.6985185185185191	1	1	1
YIL003W	1	c.37.1	c.37.1.10	0.324039735099338	0	0	2
YKL154W	0	c.37.1	c.37.1.8	0.5231372549019611	0	0	0
YBR227C	0	c.37.1	c.37.1.20	0.505384615384615	0	3	0
YNL202W	0	c.2.1	c.2.1.2	0.440529801324503	1	1	0
YKL107W	0	c.2.1	c.2.1.2	0.590588235294118	0	5	0
YDL114W	0	c.2.1	c.2.1.2	1.06242424242424	0	9	0
YLR426W	1	c.2.1	c.2.1.2	0.7342857142857142	0	7	0
YOR246C	1	c.2.1	c.2.1.2	0.628333333333333	1	1	2
YKL055C	0	c.2.1	c.2.1.2	0.609655172413793	0	3	0
YPL033C	0	c.2.1	c.2.1.2	0.638421052631579	0	4	0
YBR159W	0	c.2.1	c.2.1.2	0.7182758620689659	0	1	0
YMR090W	0	c.2.1	c.2.1.2	0.361346153846154	1	0	0
YNL181W	1	c.2.1	c.2.1.2	0.7137172774869108	3	2	9
YKL071W	0	c.2.1	c.2.1.2	0.546515151515152	2	5	0
YER004W	1	c.2.1	c.2.1.2	0.535	0	0	3
YIR036C	1	c.2.1	c.2.1.2	0.260601503759399	2	0	4
YIL124W	1	c.2.1	c.2.1.2	0.587901234567901	1	4	6
YEL066W	1	d.108.1	d.108.1.1	0.442950819672131	0	0	2
YPR193C	0	d.108.1	d.108.1.1	0.513548387096774	0	0	0
YPR131C	1	d.108.1	d.108.1.1	0.7097058823529409	0	1	4
YDR071C	1	d.108.1	d.108.1.1	0.7464705882352941	0	1	2
YFL017C	1	d.108.1	d.108.1.1	0.461791044776119	1	0	1
YIR042C	0	d.108.1	d.108.1.1	0.508679245283019	0	0	0
YDR183W	0	c.47.1	c.47.1.6	0.6670454545454549	0	4	0
YKL026C	0	c.47.1	c.47.1.10	0.98125	0	1	0
YDR453C	0	c.47.1	c.47.1.10	0.568367346938776	0	0	0
YCL035C	0	c.47.1	c.47.1.1	0.7148148148148149	1	0	0
YCR083W	1	c.47.1	c.47.1.1	0.831818181818182	1	0	2
