ORF	substrate	nopt	Cnopt	CC
YDL021W	0	0.19230769230769232	0.016025641025641024	1
YKL152C	0	0.012096774193548387	0.0	0
YKR043C	1	0.1213235294117647	0.003676470588235294	1
YOL056W	0	0.16776315789473684	0.01644736842105263	3
YDR051C	1	0.191044776119403	0.014925373134328358	4
YPR085C	0	0.21846846846846846	0.04279279279279279	8
YNL035C	1	0.14615384615384616	0.015384615384615385	2
YMR146C	1	0.08908045977011494	0.0	0
YLR208W	1	0.12751677852348994	0.003355704697986577	0
YDR142C	0	0.24468085106382978	0.03723404255319149	6
YDR267C	1	0.18126888217522658	0.00906344410876133	0
YMR116C	1	0.01875	0.0	0
YGL100W	1	0.20285714285714285	0.037142857142857144	8
YBR175W	1	0.25	0.028481012658227847	2
YNL006W	1	0.15789473684210525	0.003289473684210526	0
YER107C	1	0.23770491803278687	0.040983606557377046	2
YKL018W	1	0.20303030303030303	0.03333333333333333	6
YBR246W	1	0.19845360824742267	0.03608247422680412	4
YBR234C	1	0.15324675324675324	0.012987012987012988	0
YER066W	0	0.22580645161290322	0.03225806451612903	2
YCL018W	0	0.07945205479452055	0.0	0
YDL066W	1	0.0979020979020979	0.0	0
YLR174W	1	0.13075060532687652	0.004842615012106538	0
YOR136W	1	0.15135135135135136	0.005405405405405406	0
YNL009W	0	0.1828978622327791	0.04275534441805225	9
YLR446W	0	0.22811059907834103	0.04377880184331797	6
YNL099C	0	0.20920502092050208	0.02510460251046025	2
YDR067C	1	0.24444444444444444	0.04	3
YIL113W	0	0.21904761904761905	0.02857142857142857	2
YNL056W	1	0.21717171717171718	0.030303030303030304	4
YDL230W	1	0.16666666666666666	0.02976190476190476	3
YJR155W	0	0.1695501730103806	0.020761245674740483	0
YOL165C	0	0.16666666666666666	0.013888888888888888	0
YDL243C	0	0.18181818181818182	0.02727272727272727	1
YOR120W	0	0.15654952076677317	0.006389776357827476	2
YFL056C	0	0.15654952076677317	0.006389776357827476	0
YHR104W	1	0.1402439024390244	0.006097560975609756	2
YDR368W	1	0.12779552715654952	0.003194888178913738	1
YFL057C	0	0.12779552715654952	0.003194888178913738	0
YNL090W	1	0.18134715025906736	0.03626943005181347	0
YMR138W	1	0.20833333333333334	0.03125	5
YKR059W	1	0.03535353535353535	0.0	0
YOR094W	0	0.1956521739130435	0.03260869565217391	4
YBR164C	1	0.16847826086956522	0.03804347826086957	3
YKR014C	1	0.14468085106382977	0.0	0
YNL093W	0	0.20361990950226244	0.02262443438914027	4
YDL084W	1	0.1029082774049217	0.0022371364653243847	0
YOR185C	1	0.14479638009049775	0.01809954751131222	0
YFL005W	1	0.1712962962962963	0.009259259259259259	0
YDR021W	1	0.1675	0.02	5
YHR022C	0	0.19844357976653695	0.023346303501945526	4
YJR057W	0	0.16129032258064516	0.009216589861751152	2
YHR065C	0	0.14342629482071714	0.01593625498007968	3
YFL038C	1	0.12560386473429952	0.0	0
YDR248C	0	0.12886597938144329	0.0	0
YFL066C	1	0.18575063613231552	0.01272264631043257	0
YCR027C	1	0.24285714285714285	0.08571428571428572	0
YBR264C	1	0.235	0.05	0
YOR089C	1	0.1848341232227488	0.018957345971563982	1
YGR205W	0	0.17869415807560138	0.03436426116838488	5
YLR293C	1	0.04090909090909091	0.0	0
YGL091C	0	0.19756838905775076	0.0060790273556231	0
YOR046C	1	0.11801242236024845	0.0	0
YIL003W	1	0.20408163265306123	0.017006802721088437	0
YKL154W	0	0.17551020408163265	0.024489795918367346	2
YBR227C	0	0.14971209213051823	0.013435700575815739	0
YNL202W	0	0.15358361774744028	0.013651877133105802	2
YKL107W	0	0.2	0.02903225806451613	4
YDL114W	0	0.26537216828478966	0.032362459546925564	9
YLR426W	1	0.28134556574923547	0.05504587155963303	4
YOR246C	1	0.1419939577039275	0.006042296072507553	1
YKL055C	0	0.17562724014336917	0.014336917562724014	1
YPL033C	0	0.2624113475177305	0.04609929078014184	1
YBR159W	0	0.13793103448275862	0.008620689655172414	1
YMR090W	0	0.13596491228070176	0.0	0
YNL181W	1	0.16911764705882354	0.004901960784313725	0
YKL071W	0	0.23346303501945526	0.04669260700389105	5
YER004W	1	0.14224137931034483	0.008620689655172414	2
YIR036C	1	0.12878787878787878	0.007575757575757576	0
YIL124W	1	0.17114093959731544	0.013422818791946308	0
YGR019W	1	0.11652542372881355	0.0	0
YNR058W	0	0.16216216216216217	0.008316008316008316	2
YLR438W	0	0.09176470588235294	0.0	0
YLR027C	1	0.13842482100238662	0.016706443914081145	5
YBR263W	1	0.09368635437881874	0.002036659877800407	0
YEL066W	1	0.15	0.016666666666666666	0
YPR193C	0	0.16560509554140126	0.006369426751592357	0
YPR131C	1	0.20408163265306123	0.02040816326530612	1
YDR071C	1	0.125	0.005208333333333333	0
YFL017C	1	0.1375	0.01875	0
YIR042C	0	0.20675105485232068	0.05063291139240506	2
YDR183W	0	0.22077922077922077	0.04329004329004329	3
YKL026C	0	0.20833333333333334	0.041666666666666664	2
YDR453C	0	0.14720812182741116	0.015228426395939087	0
YCL035C	0	0.11711711711711711	0.0	0
YCR083W	1	0.140625	0.0	0
YIL010W	0	0.19444444444444445	0.023148148148148147	1
YLR364W	0	0.16363636363636364	0.00909090909090909	0
YHR057C	1	0.11165048543689321	0.0	0
YDR304C	0	0.1415929203539823	0.01327433628318584	0
YML078W	0	0.11475409836065574	0.0	0
YDR155C	1	0.03067484662576687	0.0	0
YOR026W	1	0.20760233918128654	0.03508771929824561	1
YLR043C	1	0.04807692307692308	0.0	0
YDL192W	0	0.07692307692307693	0.005494505494505495	0
YGL004C	1	0.215311004784689	0.0215311004784689	5
