clusterID	value
0	-0.24
1	-0.49
2	0.26
3	-0.44
4	-0.84
5	-0.04
6	-0.74
7	-0.56
8	-0.28
9	-0.3
10	0.24
11	0.09
12	-0.48
13	-0.3
14	-0.44
15	0.01
16	-0.83
17	-0.82
18	-0.61
19	-0.03
20	0.31
21	0.37
22	-0.29
23	0.28
24	-0.16
25	0.36
26	0.06
27	0.18
28	0.49
29	0.24
30	0.2
31	0.98
32	0.14
33	0.4
34	0.02
35	-0.68
36	-0.16
37	-0.71
38	-0.89
39	-0.4
40	-0.61
41	-1.16
42	-1.01
43	-0.97
44	-0.91
45	-0.82
46	-0.73
47	-0.57
48	-0.22
49	0.38
50	0.64
51	0.93
52	0.2
53	1.09
54	0.77
55	0.06
56	-0.03
57	-0.59
58	-1.09
59	-1.11
60	-1.53
61	-1.51
62	-1.1
63	-1.62
64	-1.55
65	-0.96
66	-0.07
67	0.04
68	0.06
69	0.09
70	0.02
71	0.67
72	0.81
73	-0.01
74	0.03
75	-0.14
76	-0.47
77	0.38
78	0.42
79	-0.28
80	0.01
81	-0.21
82	-0.05
83	-0.35
84	-0.51
85	0.1
86	0.03
87	0.12
88	0.2
89	0.15
90	0.2
91	0.53
92	0.95
93	1.0
94	1.1
95	1.1
96	0.18
97	0.27
98	0.21
99	0.23
100	-0.15
101	-0.12
102	-0.21
103	0.25
104	0.5
105	0.02
106	-0.11
107	-0.42
108	-0.67
109	-0.7
110	-0.41
111	-0.42
112	-0.48
113	-0.8
114	-0.93
115	-0.51
116	-0.68
117	-1.16
118	-1.56
119	-1.32
120	-0.52
121	-0.55
122	-1.11
123	-0.42
124	0.35
125	0.5
126	-0.21
127	-0.32
128	-1.46
129	-1.43
130	-1.4
131	-1.71
132	-1.12
133	-0.8
134	-1.18
135	-1.28
136	-0.68
137	-0.68
138	-1.14
139	-1.6
140	-1.15
141	-0.68
142	-0.47
143	-0.3
144	-0.15
145	0.07
146	-0.09
147	-0.76
148	-0.63
149	-0.55
150	-1.09
151	-1.06
152	-1.26
153	-1.28
154	-0.98
155	-1.39
156	-1.92
157	-1.89
158	-1.15
159	-1.14
160	-1.09
161	-1.11
162	-0.96
163	-1.18
164	-0.31
165	-0.51
166	-0.33
167	-0.45
168	-0.19
169	0.2
170	0.7
171	-0.58
172	-0.24
173	-0.24
174	-0.96
175	-0.07
176	-0.31
177	-0.76
178	-0.47
179	0.29
180	0.41
181	0.39
182	-0.16
183	0.67
184	0.69
185	1.13
186	0.66
187	0.03
188	0.3
189	0.81
190	0.14
191	-0.2
192	-0.71
193	-0.76
194	-0.79
195	-0.65
196	-1.56
197	-1.18
198	-0.46
199	-0.44
200	-0.52
201	-0.23
202	-0.64
203	-0.51
204	-0.3
205	-1.11
206	-0.72
207	-1.37
208	-1.68
209	-1.4
210	-1.91
211	-2.17
212	-2.14
213	-2.33
214	-1.47
215	-1.53
216	-1.99
217	-1.53
218	-0.67
219	-0.36
220	0.23
221	0.48
222	0.53
223	-0.27
224	-0.13
225	0.46
226	0.99
227	0.55
228	0.49
229	1.07
230	0.68
231	0.3
232	-0.38
233	-0.67
234	-0.88
235	-0.6
236	-0.62
237	-0.54
238	0.23
239	0.41
240	-0.04
241	0.82
242	0.42
243	0.16
244	0.14
245	-0.38
246	-0.76
247	-0.45
248	-0.89
249	-0.69
250	-0.47
251	-0.85
252	-0.32
253	-0.09
254	-0.11
255	0.18
256	-0.77
257	-0.69
258	0.33
259	-0.83
