N	F1	F2	F3	F4	F5	AUC1	AUC3	AUC5	AUC10
2178.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2177.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2176.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2175.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2174.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2173.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2172.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2171.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2170.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2169.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2168.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2167.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2166.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2165.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2164.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2163.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2162.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2161.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2160.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2159.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2158.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2157.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2156.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2155.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2154.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2153.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2152.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
2151.0	54.0	71.0	347.0	170.0	558.0	0.5217	0.5523	0.5754	0.6115
