N	F1	F2	F3	F4	F5	AUC1	AUC3	AUC5	AUC10
2196.0	54.0	550.0	71.0	280.0	1144.0	0.5196	0.5484	0.5688	0.6081
2195.0	54.0	550.0	71.0	280.0	1144.0	0.5196	0.5484	0.5688	0.6081
2194.0	54.0	550.0	71.0	280.0	1144.0	0.5196	0.5484	0.5688	0.6081
2193.0	54.0	550.0	71.0	280.0	1144.0	0.5196	0.5484	0.5688	0.6081
2192.0	54.0	550.0	71.0	280.0	1144.0	0.5196	0.5484	0.5688	0.6081
2191.0	54.0	550.0	71.0	280.0	1144.0	0.5196	0.5484	0.5688	0.6081
2190.0	54.0	550.0	71.0	280.0	1144.0	0.5196	0.5484	0.5688	0.6081
2189.0	54.0	550.0	71.0	280.0	1144.0	0.5196	0.5484	0.5688	0.6081
2188.0	54.0	550.0	71.0	280.0	1144.0	0.5196	0.5484	0.5688	0.6081
2187.0	54.0	550.0	71.0	280.0	1144.0	0.5196	0.5484	0.5688	0.6081
2186.0	54.0	550.0	71.0	280.0	1144.0	0.5196	0.5484	0.5688	0.6081
2185.0	54.0	550.0	71.0	280.0	1144.0	0.5196	0.5484	0.5688	0.6081
2184.0	54.0	550.0	71.0	280.0	1144.0	0.5196	0.5484	0.5688	0.6081
2183.0	54.0	550.0	71.0	280.0	1144.0	0.5196	0.5484	0.5688	0.6081
2182.0	54.0	550.0	71.0	280.0	1144.0	0.5196	0.5484	0.5688	0.6081
2181.0	54.0	550.0	71.0	280.0	1144.0	0.5196	0.5484	0.5688	0.6081
2180.0	54.0	550.0	71.0	280.0	1144.0	0.5196	0.5484	0.5688	0.6081
2179.0	54.0	550.0	71.0	280.0	1144.0	0.5196	0.5484	0.5688	0.6081
2178.0	54.0	550.0	71.0	280.0	1144.0	0.5196	0.5484	0.5688	0.6081
2177.0	54.0	550.0	71.0	348.0	1144.0	0.5196	0.5484	0.5747	0.6076
2176.0	54.0	550.0	71.0	348.0	1144.0	0.5196	0.5484	0.5747	0.6076
2175.0	54.0	71.0	550.0	348.0	1144.0	0.5196	0.5484	0.5747	0.6076
2174.0	54.0	71.0	550.0	348.0	1144.0	0.5196	0.5484	0.5747	0.6076
2173.0	54.0	71.0	550.0	348.0	1144.0	0.5196	0.5484	0.5747	0.6076
2172.0	54.0	71.0	550.0	348.0	1144.0	0.5196	0.5484	0.5747	0.6076
2171.0	54.0	71.0	550.0	348.0	1144.0	0.5196	0.5484	0.5747	0.6076
2170.0	54.0	71.0	550.0	348.0	1144.0	0.5196	0.5484	0.5747	0.6076
2169.0	54.0	71.0	550.0	348.0	1144.0	0.5196	0.5484	0.5747	0.6076
2168.0	54.0	550.0	71.0	348.0	280.0	0.5196	0.5484	0.5714	0.6107
2167.0	54.0	550.0	71.0	348.0	280.0	0.5196	0.5484	0.5714	0.6107
2166.0	54.0	550.0	71.0	348.0	280.0	0.5196	0.5484	0.5714	0.6107
2165.0	54.0	550.0	71.0	348.0	280.0	0.5196	0.5484	0.5714	0.6107
2164.0	54.0	550.0	71.0	348.0	280.0	0.5196	0.5484	0.5714	0.6107
2163.0	54.0	550.0	71.0	348.0	280.0	0.5196	0.5484	0.5714	0.6107
